,time,depth,start,end,duration,interval,cat1,cat2,cat3
0,2022-10-06 19:02:06.999541,4.864288415010336,2022-10-06 19:02:06.999541,2022-10-06 22:31:38.874652,0 days 03:29:31.875111,1,high falling,high,falling
1,2022-10-06 22:31:38.874652,3.603789730014955,2022-10-06 22:31:38.874652,2022-10-07 01:39:45.749752,0 days 03:08:06.875100,2,low falling,low,falling
2,2022-10-07 01:39:45.749752,2.5572914928112462,2022-10-07 01:39:45.749752,2022-10-07 04:58:32.124857,0 days 03:18:46.375105,3,low rising,low,rising
3,2022-10-07 04:58:32.124857,3.603800317771099,2022-10-07 04:58:32.124857,2022-10-07 07:31:12.874938,0 days 02:32:40.750081,4,high rising,high,rising
4,2022-10-07 07:31:17.249938,4.3149476809860845,2022-10-07 07:31:17.249938,2022-10-07 10:01:47.875018,0 days 02:30:30.625080,5,high falling,high,falling
5,2022-10-07 10:01:47.875018,3.603798686238481,2022-10-07 10:01:47.875018,2022-10-07 13:21:21.750124,0 days 03:19:33.875106,6,low falling,low,falling
6,2022-10-07 13:21:21.750124,2.5863611096743155,2022-10-07 13:21:21.750124,2022-10-07 16:28:52.750223,0 days 03:07:31.000099,7,low rising,low,rising
7,2022-10-07 16:28:52.750223,3.603789017021733,2022-10-07 16:28:52.750223,2022-10-07 19:51:41.500331,0 days 03:22:48.750108,8,high rising,high,rising
8,2022-10-07 19:51:41.500331,4.858463478672404,2022-10-07 19:51:41.500331,2022-10-07 23:05:38.375434,0 days 03:13:56.875103,9,high falling,high,falling
9,2022-10-07 23:05:38.375434,3.603795737939562,2022-10-07 23:05:38.375434,2022-10-08 02:14:24.750534,0 days 03:08:46.375100,10,low falling,low,falling
10,2022-10-08 02:14:24.750534,2.4571657630561066,2022-10-08 02:14:24.750534,2022-10-08 05:31:29.500638,0 days 03:17:04.750104,11,low rising,low,rising
11,2022-10-08 05:31:29.500638,3.603805140710395,2022-10-08 05:31:29.500638,2022-10-08 08:11:46.625723,0 days 02:40:17.125085,12,high rising,high,rising
